date,name,type,value
1月27日,山西,晋中市,3
1月27日,山西,吕梁市,2
1月27日,山西,太原市,1
1月27日,山西,运城市,1
1月27日,德国,德国,1
1月27日,广西,北海市,2
1月27日,广西,梧州市,2
1月27日,广西,桂林市,1
1月27日,河南,焦作市,2
1月27日,河南,郑州市,8
1月27日,河南,开封市,1
1月27日,河南,安阳市,4
1月27日,河南,新乡市,2
1月27日,河南,许昌市,1
1月27日,河南,漯河市,3
1月27日,河南,南阳市,7
1月27日,河南,商丘市,1
1月27日,河南,周口市,4
1月27日,河南,信阳市,6
1月27日,河南,驻马店市,1
1月27日,山东,泰安市,1
1月27日,山东,济南市,3
1月27日,山东,德州市,2
1月27日,山东,聊城市,2
1月27日,山东,威海市,1
1月27日,山东,日照市,1
1月27日,山东,临沂市,1
1月27日,山东,滨州市,1
1月27日,江苏,南京市,3
1月27日,江苏,无锡市,2
1月27日,江苏,徐州市,5
1月27日,江苏,常州市,2
1月27日,江苏,苏州市,4
1月27日,江苏,南通市,2
1月27日,江苏,扬州市,1
1月27日,江苏,泰州市,2
1月27日,江苏,宿迁市,2
1月27日,贵州,黔南州,2
1月27日,上海,外地来沪,10
1月27日,上海,浦东新区,2
1月27日,上海,黄浦区,1
1月27日,湖北,武汉市,892
1月27日,湖北,黄石市,17
1月27日,湖北,十堰市,25
1月27日,湖北,襄阳市,34
1月27日,湖北,宜昌市,20
1月27日,湖北,荆州市,24
1月27日,湖北,荆门市,24
1月27日,湖北,鄂州市,37
1月27日,湖北,孝感市,73
1月27日,湖北,黄冈市,59
1月27日,湖北,咸宁市,27
1月27日,湖北,随州市,18
1月27日,湖北,恩施州,13
1月27日,湖北,仙桃市,15
1月27日,湖北,天门市,10
1月27日,湖北,潜江市,2
1月27日,湖北,神农架林区,1
1月27日,安徽,阜阳市,11
1月27日,安徽,铜陵市,6
1月27日,安徽,合肥市,3
1月27日,安徽,芜湖市,3
1月27日,安徽,马鞍山市,3
1月27日,安徽,黄山市,3
1月27日,安徽,亳州市,2
1月27日,安徽,滁州市,2
1月27日,安徽,淮北市,1
1月27日,安徽,六安市,1
1月27日,安徽,宣城市,1
1月27日,重庆,万州区,1
1月27日,重庆,黔江区,1
1月27日,重庆,江北区,1
1月27日,重庆,九龙坡区,1
1月27日,重庆,南岸区,1
1月27日,重庆,渝北区,1
1月27日,重庆,长寿区,1
1月27日,重庆,合川区,1
1月27日,重庆,綦江区,1
1月27日,重庆,铜梁区,1
1月27日,重庆,开州区,2
1月27日,重庆,垫江县,1
1月27日,重庆,忠县,3
1月27日,重庆,云阳县,2
1月27日,重庆,石柱县,3
1月27日,重庆,两江新区,1
1月27日,新疆,吐鲁番市,1
1月27日,新疆,石河子市,2
1月27日,新疆,乌鲁木齐市,1
1月27日,新疆,伊犁州,1
1月27日,黑龙江,哈尔滨市,2
1月27日,黑龙江,齐齐哈尔市,1
1月27日,黑龙江,七台河市,1
1月27日,黑龙江,绥化市,5
1月27日,甘肃,金昌市,1
1月27日,甘肃,天水市,1
1月27日,甘肃,兰州市,3
1月27日,浙江,杭州市,5
1月27日,浙江,宁波市,4
1月27日,浙江,温州市,28
1月27日,浙江,嘉兴市,3
1月27日,浙江,绍兴市,1
1月27日,浙江,金华市,2
1月27日,浙江,丽水市,2
1月27日,四川,成都市,4
1月27日,四川,自贡市,5
1月27日,四川,泸州市,1
1月27日,四川,绵阳市,1
1月27日,四川,遂宁市,1
1月27日,四川,内江市,2
1月27日,四川,乐山市,1
1月27日,四川,南充市,2
1月27日,四川,广安市,1
1月27日,四川,雅安市,1
1月27日,四川,甘孜州,1
1月27日,四川,凉山州,1
1月27日,河北,廊坊市,4
1月27日,河北,沧州市,3
1月27日,河北,邯郸市,2
1月27日,河北,石家庄市,2
1月27日,河北,衡水市,2
1月27日,河北,唐山市,1
1月27日,河北,邢台市,1
1月27日,广东,广州市,10
1月27日,广东,深圳市,13
1月27日,广东,汕头市,3
1月27日,广东,佛山市,4
1月27日,广东,惠州市,3
1月27日,广东,中山市,1
1月27日,广东,清远市,2
1月27日,广东,揭阳市,1
1月27日,内蒙古,包头市,1
1月27日,内蒙古,赤峰市,1
1月27日,宁夏,银川市,2
1月27日,宁夏,吴忠市,2
1月27日,北京,北京,0
1月27日,海南,海口市,1
1月27日,海南,三亚市,3
1月27日,海南,琼海市,1
1月27日,海南,东方市,1
1月27日,海南,琼中县,1
1月27日,吉林,吉林市,1
1月27日,吉林,公主岭市,1
1月27日,湖南,长沙市,2
1月27日,湖南,衡阳市,3
1月27日,湖南,株洲市,2
1月27日,湖南,湘潭市,2
1月27日,湖南,邵阳市,3
1月27日,湖南,岳阳市,10
1月27日,湖南,常德市,7
1月27日,湖南,益阳市,3
1月27日,湖南,郴州市,1
1月27日,湖南,永州市,3
1月27日,湖南,怀化市,5
1月27日,湖南,娄底市,2
1月27日,澳门,澳门,1
1月27日,泰国,泰国,0
1月28日,湖北,武汉市,0
1月28日,天津,西青区,1
1月28日,辽宁,沈阳市,1
1月28日,辽宁,丹东市,1
1月28日,辽宁,辽阳市,1
1月27日,云南,昭通市,1
1月27日,福建,厦门市,1
1月27日,福建,泉州市,3
1月27日,福建,三明市,4
1月27日,福建,莆田市,4
1月27日,福建,南平市,1
1月27日,福建,龙岩市,1
1月28日,上海,上海,0
1月28日,江西,新余市,0
1月28日,泰国,泰国,6
1月28日,云南,昆明市,5
1月28日,云南,玉溪市,4
1月28日,云南,保山市,1
1月28日,云南,丽江市,1
1月28日,云南,西双版纳州,5
1月28日,云南,大理州,1
1月28日,陕西,西安市,3
1月28日,陕西,宝鸡市,3
1月28日,陕西,渭南市,2
1月28日,陕西,汉中市,1
1月28日,陕西,安康市,1
1月28日,陕西,商洛市,1
1月28日,山东,山东,8
1月28日,内蒙古,呼和浩特市,2
1月28日,北京,西城区,1
1月28日,北京,海淀区,4
1月28日,北京,丰台区,3
1月28日,北京,顺义区,1
1月28日,北京,大兴区,2
1月28日,新加坡,新加坡,3
1月28日,广西,梧州市,0
1月28日,广西,防城港市,0
